"smiles","NAME_","F","pref_target_name"
[H]C1=C(C([H])([H])C([H])([H])c2c([H])c(c([H])c(c2[H])F)F)N([H])[N-]C(C1=O)=O,CHEMBL2338803,31.,Mus musculus
[H]C1=C([H])N(C(N=C1N([H])[H])=O)[C@@]1([H])C([C@@]([H])([C@@]([H])(C([H])([H])O[H])O1)O[H])(F)F,CHEMBL888,3.2,Rattus norvegicus
[H]C1=C([H])N(C(N=C1N([H])[H])=O)[C@@]1([H])[C@@](C([H])([H])[H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O1)O[H])O[H],CHEMBL438605,33.6,Rattus norvegicus
[H]c1c(C([H])([H])[C@@]([H])(C(N2C([H])([H])[C@]([H])(C([H])([H])[C@@]2([H])C#N)F)=O)N([H])[H])nc([H])s1,CHEMBL3127986,37.8,Rattus norvegicus
[H]c1c([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])nc(C(N(C([H])([H])[H])C([H])([H])[H])=O)n1[H],CHEMBL484480,5.,Mus musculus
[H]c1c([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])nc(c2c([H])sc([H])n2)n1[H],CHEMBL483879,12.,Mus musculus
[H]c1c([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O[H])O[H])O[H])nc(c2nc([H])on2)n1[H],CHEMBL520964,5.,Mus musculus
[H]c1c([H])c(C(N([H])[H])=O)c2c(c1[H])n([H])c([C@@]1([H])C([H])([H])C([H])([H])C([H])([H])N1C([H])([H])[H])n2,CHEMBL511050,25.,Mus musculus
[H]c1c([H])c(C(N([H])[H])=O)c2c(c1[H])n([H])c([C@@]1([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])C1([H])[H])n2,CHEMBL488665,26.,Mus musculus
[H]c1c([H])c(C(N([H])[H])=O)c2c(c1[H])nc([C@@]1(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[N+]1([H])[H])n2[H],CHEMBL506871,61.,Rattus norvegicus
