"smiles","NAME_","F","pref_target_name"
[H]c1c([H])c(c(C#N)c([H])c1c1nc(c2c([H])c([H])c3c(c2C([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])C(N([H])[C@@]([H])(C([H])([H])[H])C([H])([H])O[H])=O)C3([H])[H])no1)OC([H])(C([H])([H])[H])C([H])([H])[H],CHEMBL1836171,38.,Rattus norvegicus
[H]c1c([H])c(c(C(N([H])c2c([H])c(c([H])c([H])c2N2C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C2([H])[H])[N+]([H])([H])[H])C(F)(F)F)=O)c([H])c1C#Cc1c([H])nc(nc1[H])N([H])[H])F,CHEMBL374079,51.,Rattus norvegicus
[H]c1c([H])c(c([H])c(C(N([H])[C@@]([H])(c2c([H])c(c([H])c(c2[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])=O)c1C([H])([H])C([H])([H])C([O-])=O)N([H])c1c([H])c(c([H])c(c1[H])C([H])([H])[H])C([H])([H])[H],CHEMBL1099047,2.5,Rattus norvegicus
[H]c1c([H])c(c([H])c(C(N([H])[C@@]([H])(c2c([H])c(c([H])c(c2[H])C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])=O)c1C([H])([H])C([H])([H])C([O-])=O)Oc1c([H])c(c([H])c(c1[H])C([H])([H])[H])C([H])([H])[H],CHEMBL1095064,21.,Rattus norvegicus
[H]c1c([H])c(c([H])c(C(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])c2c([H])c3nc(c(c([H])n3n2)C([H])([H])[H])N2C([H])([H])C([H])([H])[C@@]([H])(C2([H])[H])[N+]([H])([H])[H])=O)c1[N-]S(C([H])([H])[H])(=O)=O)[Cl],CHEMBL3410450,46.,Rattus norvegicus
[H]c1c([H])c(c([H])c(C(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])c2c([H])c3nc(c(c([H])n3n2)C([H])([H])[H])N2C([H])([H])C([H])([H])[C@]([H])(C2([H])[H])O[H])=O)c1[N-]S(C([H])([H])[H])(=O)=O)[Cl],CHEMBL3410447,71.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C#N)C([H])([H])C([H])([H])N([H])C([C@]1([H])C([H])([H])C([H])([H])C([H])([H])N(c2c([H])c(nc(C(F)(F)F)n2)N2C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])C2([H])[H])C1([H])[H])=O,CHEMBL3234568,24.,Mus musculus
[H]c1c([H])c(c([H])c([H])c1C(F)(F)F)[C@@]([H])(c1c(c2c(C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[C@]2([H])O[H])nc1C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])F,CHEMBL1081288,44.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C(F)(F)F)[C@]([H])(C([H])([H])[H])N1C([H])([H])C([H])([H])[N@@+]([H])(C2(C([H])([H])[H])C([H])([H])C([H])([H])N(C(c3c(C([H])([H])[H])nc([H])nc3C([H])([H])[H])=O)C([H])([H])C2([H])[H])C([H])([H])[C@]1([H])C([H])([H])[H],CHEMBL311795,97.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C(N([H])C([H])([H])C([H])([H])C([O-])=O)=O)[C@]([H])(C([H])([H])C([H])([H])C([H])([H])[H])Oc1c([H])c(c(c(c1[H])C([H])([H])[H])n1c([H])c(c([H])n1)C(F)(F)F)C([H])([H])[H],CHEMBL2381848,100.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C(N([H])C1(C(N([H])C([H])([H])C#N)=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])=O)c1c([H])sc(n1)N1C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C1([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],CHEMBL200708,44.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C(N([H])C1([H])C([H])([H])C1([H])[H])=O)c1c([H])nc2c(c([H])c(nn12)OC1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])N([H])C([H])([H])C1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],CHEMBL3410074,23.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C(N([H])[H])=[N+]([H])[H])N1C(C2(C([H])([H])C1([H])[H])C([H])([H])C([H])([H])N(C(C([H])([H])C([H])([H])[C@@]([H])(C([O-])=O)N([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=O)C([H])([H])C2([H])[H])=O,CHEMBL65432,2.27,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C(N([H])c1nc(c2c([H])c([H])c(c(c2[H])C(F)(F)F)F)ns1)=O)N([H])c1c([H])c(nc([H])n1)N1C([H])([H])C([H])([H])C1([H])[H],CHEMBL246429,2.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C(N(c1c([H])c([H])c(c(c1[H])OC([H])([H])[H])OC([H])([H])C([H])([H])[N+]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])[H])=O)c1c([H])c([H])c(c([H])c1[H])C(F)(F)F,CHEMBL2110360,30.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C([C@@]1([H])C([H])([H])C([H])([H])[N@+]([H])(C([H])([H])C(N(C([H])([H])C2=NC3=C(C(N2[H])=O)C([H])([H])OC([H])([H])C3([H])[H])C([H])([H])C2([H])C([H])([H])C2([H])[H])=O)C([H])([H])C1([H])[H])=O)OC([H])([H])[H],CHEMBL2419706,32.,Mus musculus
[H]c1c([H])c(c([H])c([H])c1C([H])([H])C(N([H])c1c([H])c([H])c(c(c1[H])F)C(C(N([H])c1c([H])c(C#N)c([H])c([H])n1)=O)(C([H])([H])[H])C([H])([H])[H])=O)S(C([H])([H])C([H])([H])[H])(=O)=O,CHEMBL4279772,19.6,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C([H])([H])C(N([H])c1c([H])c([H])c(c(c1[H])F)C(C(N([H])c1c([H])c([H])c(c([H])c1F)F)=O)(C([H])([H])[H])C([H])([H])[H])=O)S(C([H])([H])C([H])([H])[H])(=O)=O,CHEMBL4287674,54.5,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C([H])([H])[C@@]([H])(C([O-])=O)N([H])c1c(c2c(C([H])([H])[H])noc2C([H])([H])[H])c([H])nc(n1)N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])OC(N(C([H])([H])[H])C([H])([H])[H])=O,CHEMBL1684983,19.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C([H])([H])[C@]1([H])c2nc(C(F)(F)F)nn2C([H])([H])C([H])([H])N1C(C([H])([H])[C@@]([H])(C([H])([H])c1c([H])c(c(c([H])c1F)F)F)[N+]([H])([H])[H])=O)F,CHEMBL401304,32.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C([H])([H])[C@]1([H])c2nnc(C(F)(F)F)n2C([H])([H])C([H])([H])N1C(C([H])([H])[C@@]([H])(C([H])([H])c1c([H])c(c(c([H])c1F)F)F)[N+]([H])([H])[H])=O)F,CHEMBL1203953,6.,Mus musculus
[H]c1c([H])c(c([H])c([H])c1C([H])([H])[H])N([H])C(N1c2c([H])c([H])c(c([H])c2OC([H])([H])C1([H])[H])Oc1c([H])c([H])nc2c([H])c(c(C(N([H])[H])=O)c([H])c12)OC([H])([H])[H])=O,CHEMBL270954,28.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C([H])([H])[N+]1([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H])N1c2c(c(c3c([H])nc(nc3[H])N([H])[H])nc(n2)N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C([H])([H])C1([H])[H],CHEMBL3735088,61.,Mus musculus
[H]c1c([H])c(c([H])c([H])c1C([H])([H])n1c(c(c2c([H])c(c([H])c([H])c12)OC([H])([H])c1c([H])sc([H])n1)SC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C(C([O-])=O)(C([H])([H])[H])C([H])([H])[H])[Cl],CHEMBL289751,98.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C([O-])=O)S(N(c1c(c([H])c(c([H])n1)C(F)(F)F)[Cl])C([H])([H])c1c([H])c([H])c(c([H])c1[H])OC(F)(F)F)(=O)=O,CHEMBL3353597,86.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1C1([H])C([H])([H])C([H])([H])N(C(C([H])([H])[H])=O)C([H])([H])C1([H])[H])OC([H])([H])c1c([H])c2c([H])nc(C#N)nc2n1C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],CHEMBL519459,25.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1N([H])C(N1c2c([H])c([H])c(c([H])c2OC([H])([H])C1([H])[H])Oc1c([H])c([H])nc2c([H])c(c(C(N([H])[H])=O)c([H])c12)OC([H])([H])[H])=O)[Cl],CHEMBL409867,46.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1N([H])C(c1c([H])c(C(F)(F)F)nn1C([H])([H])[H])=O)S(N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])(=O)=O,CHEMBL2058807,39.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1N1C([H])([H])C([H])([H])N(C(C([H])([H])[H])=O)C([H])([H])C1([H])[H])OC([H])([H])c1c([H])c2c([H])nc(C#N)nc2n1C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],CHEMBL481170,47.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1N1C([H])([H])C([H])([H])N(c2c([H])c([H])c(c([H])c2[H])S(C2(C(N([H])O[H])=O)C([H])([H])C([H])([H])N(C([H])([H])C2([H])[H])C2([H])C([H])([H])C2([H])[H])(=O)=O)C([H])([H])C1([H])[H])OC([H])([H])[H],CHEMBL1084510,20.7,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1N1[C@@]([H])(C([H])([H])C([O-])=O)[C@@]([H])(C(C(F)(F)F)=N1)C([H])([H])[H])OC1([H])C([H])([H])C([H])([H])N(c2c([H])c(c([H])c([H])c2F)OC([H])([H])[H])C([H])([H])C1([H])[H],CHEMBL4105324,36.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1Oc1c([H])c([H])c(c([H])c1[H])S(C1(C(N([H])O[H])=O)C([H])([H])C([H])([H])N(C([H])([H])C1([H])[H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H])(=O)=O)OC(F)(F)F,CHEMBL1801394,14.7,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1[C@@]([H])(c1c([H])c([H])nc([H])c1[H])N([H])C([C@]1([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[C@@]1([H])c1c([H])c([H])c(c([H])c1[H])[Br])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=O)F,CHEMBL3085780,6.9,Mus musculus
[H]c1c([H])c(c([H])c([H])c1[C@@]([H])(c1c([H])c([H])nc([H])c1[H])N([H])C([C@]1([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[C@@]1([H])c1c([H])c([H])c(c([H])c1[H])[Br])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=O)[Cl],CHEMBL3086037,8.9,Mus musculus
[H]c1c([H])c(c([H])c([H])c1[C@]1([H])C([H])([H])[C@@]([H])(C([H])([H])C([H])([H])[C@@]1([H])C(N([H])[C@]([H])(c1c([H])c([H])c(c([H])c1[H])[Cl])c1c([H])nc([H])c([H])n1)=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])[Br],CHEMBL3086042,5.2,Mus musculus
[H]c1c([H])c(c([H])c([H])c1c1c([H])c(C(N([H])N(C([H])([H])[H])C([H])([H])[H])=O)c(nc1c1c([H])c([H])c(c([H])c1[Cl])[Cl])Oc1c([H])c([H])c(c(c1[H])F)F)[Cl],CHEMBL247308,26.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1c1c([H])c(C([O-])=O)on1)C([H])([H])[C@@]([H])(c1c([H])c([H])c(c([H])c1[H])OC([H])([H])[H])c1nc(c2c([H])c([H])c(c([H])c2[H])[Cl])no1,CHEMBL2017853,36.,Mus musculus
[H]c1c([H])c(c([H])c([H])c1c1c([H])c([H])c(c([H])c1[H])S(C([H])([H])[H])(=O)=O)[C@@]([H])(C(F)(F)F)N([H])[C@]([H])(C(N([H])C1(C#N)C([H])([H])C1([H])[H])=O)C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])F,CHEMBL481611,8.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1c1c([H])c([H])c(c([H])c1[H])[C@@]([H])(C(F)(F)F)N([H])[C@]([H])(C(N([H])C1(C#N)C([H])([H])C1([H])[H])=O)C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])F)C(C([H])([H])[H])(C([H])([H])[H])O[H],CHEMBL597018,24.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1c1c([H])c([H])c(c([H])n1)C1(C([H])([H])C1([H])[H])O[H])[C@@]([H])(C(F)(F)F)N([H])[C@]([H])(C(N([H])C1(C#N)C([H])([H])C1([H])[H])=O)C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])F,CHEMBL597627,7.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1c1c([H])c(c([H])c([H])c1[C@@]([H])(C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[N@@+]1([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C1([H])[H])C(F)(F)F)C([H])([H])C([O-])=O)C(F)(F)F,CHEMBL1928229,100.,Mus musculus
[H]c1c([H])c(c([H])c([H])c1c1c([H])c(c([H])c([H])c1[C@@]([H])(c1c([H])c([H])c(c([H])c1[H])F)[N@@+]1([H])C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])C([H])([H])C1([H])[H])[C@]([H])(C([O-])=O)C([H])([H])[H])C(F)(F)F,CHEMBL2146752,47.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1c1c([H])c2c(c([H])c1[Cl])nc(N1C([H])([H])C([H])([H])C([H])(C(N([H])[C@@]3([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C3([H])[H])C([H])([H])O[H])=O)C([H])([H])C1([H])[H])o2)OC([H])([H])C([H])([H])[H],CHEMBL2391141,17.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1c1c([H])nc(N([H])c2c([H])c(nc(C([H])([H])[H])n2)N2C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])C2([H])[H])s1)N([H])C(N([H])c1c([H])c(C([H])([H])[H])on1)=O,CHEMBL3593287,10.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1c1c2c([H])nc(nc2n([C@@]2([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C2([H])[H])O[H])n1)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])S(N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])(=O)=O,CHEMBL3326002,0.3,Mus musculus
[H]c1c([H])c(c([H])c([H])c1c1c2c([H])nc(nc2n(c1[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C1([H])[H])O[H])N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])S(N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])(=O)=O,CHEMBL3326003,8.4,Mus musculus
[H]c1c([H])c(c([H])c([H])c1c1c2c([H])nc(nc2n(c1[H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C1([H])[H])O[H])N([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H])C([H])([H])[N+]1([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H],CHEMBL3326007,78.,Mus musculus
[H]c1c([H])c(c([H])c([H])c1c1n(c2c([H])c([H])c(c([H])c2C([H])([H])[H])F)nc(N([H])C(C(C([H])([H])[H])(C([H])([H])[H])N([H])C(C2(C([H])([H])C2([H])[H])C(F)(F)F)=O)=O)[n+]1[H])F,CHEMBL3759471,76.,Rattus norvegicus
[H]c1c([H])c(c([H])c([H])c1c1nc2c(c(c(c([H])n2)[Br])N2C([H])([H])C([H])([H])[N+]([H])(C([H])([H])c3c([H])c([H])c([H])nc3[H])C([H])([H])C2([H])[H])n1[H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],CHEMBL1084858,13.,Mus musculus
[H]c1c([H])c(c([H])c([H])c1c1nc2c(c(n1)N1C([H])([H])C([H])([H])OC([H])([H])[C@]1([H])C([H])([H])[H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[C@@]2([H])N1C(C([H])([H])OC([H])([H])[H])=O)N([H])C(N([H])C([H])([H])C([H])([H])[H])=O,CHEMBL2334766,47.,Mus musculus
[H]c1c([H])c(c([H])c([H])c1n1c(c(C(N([H])C([H])([H])[C@](C([H])([H])N(C(c2c(c([H])c([H])c([H])n2)[Cl])=O)C([H])([H])C([H])([H])[H])(C(F)(F)F)O[H])=O)c([H])n1)N([H])[H])F,CHEMBL520276,48.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[C@@]1([H])C(=C(C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])[C@]2([H])C([H])([H])C([H])([H])C([O-])=O)N([H])C(c2nc([H])c([H])s2)=N1)C(=O)OC([H])([H])C([H])([H])[H])[Br])F,CHEMBL4074934,54.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[C@@]1([H])C(=C(C([H])([H])N2C([H])([H])C([H])([H])O[C@@]([H])(C([H])([H])C([H])([H])C([O-])=O)C2([H])[H])N([H])C(c2nc([H])c([H])s2)=N1)C(=O)OC([H])([H])C([H])([H])[H])[Br])F,CHEMBL4101622,41.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[C@@]1([H])C(=C(C([H])([H])N2C([H])([H])C([H])([H])O[C@]([H])(C([H])([H])C([H])([H])C([O-])=O)C2([H])[H])N([H])C(c2nc([H])c([H])s2)=N1)C(=O)OC([H])([H])C([H])([H])[H])[Br])F,CHEMBL4085181,47.7,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[C@]1([H])C(=C(C([H])([H])[H])N([H])C(c2c([H])c([H])nc(c2[H])OC([H])([H])[H])=N1)C(N([H])c1c([H])c2c([H])nn([H])c2c([H])c1F)=O)F)[Cl],CHEMBL485612,53.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])C([H])([H])Oc1c([H])c([H])c(c(c1[H])F)OC([H])([H])C([O-])=O)c1c(c([H])c(c([H])c1C([H])([H])[H])OC([H])([H])C([H])([H])C([H])([H])S(C([H])([H])[H])(=O)=O)C([H])([H])[H],CHEMBL3353742,63.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])C([H])([H])[C@@]([H])(C([H])([H])[H])[N+]([H])([H])C([H])([H])[C@@]([H])(c1c([H])c([H])c(c(c1[H])C([H])([H])O[H])O[H])O[H])C([H])([H])C(N([H])C12C([H])([H])[C@]3([H])C([H])([H])[C@]([H])(C1([H])[H])C([H])([H])[C@]([H])(C2([H])[H])C3([H])[H])=O,CHEMBL402501,5.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])C([H])([H])[N+]([H])([H])[C@@]1([H])C([H])([H])S(C([H])([H])[C@@]([H])(C([H])([H])c2c([H])c(c(c(c2[H])F)N([H])[H])OC([H])([H])C(F)(F)F)[C@]1([H])O[H])(=O)=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],CHEMBL2048045,52.,Mus musculus
[H]c1c([H])c(c([H])c(c1[H])C([H])([H])[N+]([H])([H])[H])c1c([H])c([H])c([H])c(c1[H])Oc1c(c([H])c(c(n1)Oc1c([H])c(c([H])c([H])c1C([O-])=O)N(C([H])([H])[H])C([H])([H])[H])F)F,CHEMBL571393,9.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])C([H])([H])n1c2c([H])c([H])c([H])c(c2c([N-]S(c2c([H])c([H])c(s2)[Cl])(=O)=O)n1)OC([H])([H])[H])C([H])([H])N([H])C(C(C([H])([H])[H])(C([H])([H])[H])O[H])=O,CHEMBL2018969,53.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])C([H])([H])n1c2c([H])c([H])c([H])c(c2c([N-]S(c2c([H])c([H])c(s2)[Cl])(=O)=O)n1)OC([H])([H])[H])C([H])([H])N([H])C(C(C([H])([H])[H])(C([H])([H])[H])[N+]([H])([H])[H])=O,CHEMBL2326621,29.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])C([H])([H])n1c2c([H])c([H])c([H])c(c2c([N-]S(c2c([H])c([H])c(s2)[Cl])(=O)=O)n1)OC([H])([H])[H])C([H])([H])N([H])C([C@@]([H])(C([H])([H])[H])[N+]([H])([H])C([H])([H])[H])=O,CHEMBL2326620,19.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])F)N([H])C(N([H])c1c([H])c([H])c(c([H])c1[H])c1c2c(nc([H])c(c3c([H])nn(c3[H])C([H])([H])[C@@]([H])(C([H])([H])[H])O[H])c2sc1[H])N([H])[H])=O,CHEMBL2022856,42.,Mus musculus
[H]c1c([H])c(c([H])c(c1[H])F)[C@@]([H])([C@]1([H])C([H])([H])C([H])([H])C([H])([H])N(C(N([H])[C@@]([H])(C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])[N+]([H])([H])C([H])([H])[H])=O)C1([H])[H])OC([H])([H])C([H])([H])N([H])C(=O)OC([H])([H])[H],CHEMBL592762,22.1,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])F)[C@@]([H])(c1c([H])c([H])c2c(c1[H])n([H])c(C([H])([H])[H])n2)C([H])([H])N([H])C(c1c(c([H])c(c([H])c1[Cl])n1c([H])nc(C([H])([H])[H])n1)[Cl])=O,CHEMBL3627897,11.1,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])F)[C@@]([H])(c1nc2c([H])c([H])c(c([H])c2n1[H])[Cl])C([H])([H])N([H])C(c1c(c([H])c(c([H])c1[Cl])n1c([H])nc(C([H])([H])[H])n1)[Cl])=O,CHEMBL3627895,48.2,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])N([H])C(=O)OC([H])([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])N1C(=O)SC([H])([H])C(c2c([H])c([H])c(c(c2[H])OC([H])([H])[H])OC([H])([H])[H])=N1,CHEMBL3402741,5.,Mus musculus
[H]c1c([H])c(c([H])c(c1[H])N([H])C(N([H])c1c([H])c([H])c(c([H])c1[H])c1c([H])c([H])c(c2c1c(nn2[H])N([H])[H])OC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=O)C([H])([H])[H],CHEMBL223478,20.,Mus musculus
[H]c1c([H])c(c([H])c(c1[H])OC([H])([H])C([H])([H])C([H])([H])Oc1c([H])c([H])c(c([H])c1C([H])([H])C([H])([H])C([H])([H])[H])Oc1c([H])c([H])c(c(c1[H])C([H])([H])[H])F)[C@]1([H])C([N-]C(=O)S1)=O,CHEMBL96143,20.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])OC([H])([H])C([H])([H])C([H])([H])Oc1c([H])c([H])c(c([H])c1C([H])([H])C([H])([H])C([H])([H])[H])Oc1c([H])c([H])c(c(c1[H])[Cl])[Cl])[C@]1([H])C([N-]C(=O)S1)=O,CHEMBL318684,19.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])OC([H])([H])C([H])([H])Oc1nc([H])nn1[H])C([H])([H])N([H])C(C1=Nc2c(C(N1[H])=O)c(c1c([H])c([H])c([H])c(c1[H])F)c([H])s2)=O,CHEMBL4068176,33.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])OC([H])([H])[H])C([H])([H])N([H])C(C1=Nc2c([H])c([H])c(c(c2C(N1[H])=O)OC([H])([H])C([H])([H])c1c([H])c([H])c(C([O-])=O)c([H])c1[H])F)=O,CHEMBL3359092,4.9,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])S(N([H])C([H])([H])[C@@]1([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])C1([H])[H])C([H])([H])N([H])c1c([H])c(c2c([H])c([H])c([H])c([H])n2)nc(n1)N([H])C1([H])C([H])([H])C1([H])[H])(=O)=O)F,CHEMBL3341764,25.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])S(N1C([H])([H])C([H])([H])N(c2c([H])c([H])c(c([H])c2C(F)(F)F)F)C([H])([H])[C@@]1([H])C([H])([H])[H])(=O)=O)[C@@](C(N([H])[H])=O)(C(F)(F)F)O[H],CHEMBL2323017,46.,Mus musculus
[H]c1c([H])c(c([H])c(c1[H])[Cl])[C@@]([H])([C@]1([H])C([H])([H])C([H])([H])C([H])([H])N(C(N([H])C([H])([H])[C@]([H])(C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])OC2([H])[H])[N+]([H])([H])C([H])([H])[H])=O)C1([H])[H])OC([H])([H])C([H])([H])N([H])C(=O)OC([H])([H])[H],CHEMBL2023125,37.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])[Cl])[C@@]([H])([C@]1([H])C([H])([H])C([H])([H])C([H])([H])N(C(N([H])[C@@]([H])(C([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])C([H])([H])[N+]([H])([H])C([H])([H])[H])=O)C1([H])[H])OC([H])([H])C([H])([H])N([H])C(=O)OC([H])([H])[H],CHEMBL2023120,9.4,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])[Cl])[C@@]([H])([C@]1([H])C([H])([H])C([H])([H])C([H])([H])N(C(N([H])[C@@]([H])(C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])C([H])([H])OC2([H])[H])C([H])([H])[N+]([H])([H])C([H])([H])[H])=O)C1([H])[H])OC([H])([H])C([H])([H])N([H])C(=O)OC([H])([H])[H],CHEMBL2023121,7.5,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])[Cl])[C@]1([H])[C@@]2(C(N([H])c3c([H])c(c([H])c([H])c23)[Cl])=O)[C@@]([H])(C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[N+]([H])([H])[C@@]1([H])C(N([H])C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])O[H])O[H])=O,CHEMBL578238,19.,Rattus norvegicus
[H]c1c([H])c(c([H])c(c1[H])[Cl])[C@]1([H])[C@@]2(C(N([H])c3c([H])c(c(c([H])c23)F)[Cl])=O)[C@@]([H])(C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[N+]([H])([H])[C@@]1([H])C(N([H])C([H])([H])[C@@]([H])(C([H])([H])O[H])O[H])=O,CHEMBL566955,18.,Rattus norvegicus
