canonical_smiles,molecule_chembl_id,F,target_pref_name
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,CHEMBL1359,0.53,Rattus norvegicus
COc1cc(C)ccc1S(=O)(=O)NC(=O)C(c1ccc2c(c1)OCO2)c1cn(C)c2cc(C(N)=O)ccc12,CHEMBL22562,0.6,Rattus norvegicus
O=c1c2ccccc2sc2cc(OCC(O)CCl)cc(O)c12,CHEMBL3417774,0.6,Rattus norvegicus
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(-c2ccccn2)cc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCN(Cc2ccnc3ccccc23)C1=O)C(C)(C)C)C(C)(C)C,CHEMBL501017,0.6,Rattus norvegicus
C=CC(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccccc4Nc4nc5c(s4)CN(C)CC5)nc32)c1.CS(=O)(=O)O,CHEMBL4086770,0.6,Rattus norvegicus
Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOCC2)CC1,CHEMBL1784340,0.62,Mus musculus
Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOCC2)CC1,CHEMBL1784340,0.62,Rattus norvegicus
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12,CHEMBL1359,0.65,Rattus norvegicus
FC(F)(F)c1cccc(N2CCN(CCCCNc3cc(-c4ccccc4)ccn3)CC2)c1,CHEMBL1223857,0.65,Rattus norvegicus
O=C1NCC2(CCNCC2)c2[nH]c(-c3ccnc(-c4ccc5c(c4)OCO5)n3)cc21,CHEMBL1738702,0.7,Mus musculus
CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,CHEMBL1689772,0.7,Rattus norvegicus
O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2CCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)O)cc1)c1c(Cl)cccc1Cl,CHEMBL73986,0.7,Rattus norvegicus
OC/C=C/c1cc(N2CCOCC2)c2cc(Cl)c(F)cc2n1,CHEMBL2436391,0.7,Mus musculus
NC(=O)C[C@H](NC(=O)CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,CHEMBL454909,0.7,Rattus norvegicus
CN(C)C(=O)[C@@H](c1ccc(-c2ccc3nncn3c2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,CHEMBL207348,0.76,Rattus norvegicus
Cc1oc(=O)oc1COC(=O)C1=C(S[C@@H]2CN[C@H](C(=O)Nc3cccc(C(=O)OCc4oc(=O)oc4C)c3)C2)[C@H](C)[C@@H]2[C@@H]([C@@H](C)O)C(=O)N12,CHEMBL2431069,0.77,Rattus norvegicus
Cc1oc(=O)oc1COC(=O)C1=C(S[C@@H]2CN[C@H](C(=O)Nc3cccc(C(=O)OCc4oc(=O)oc4C)c3)C2)[C@H](C)[C@@H]2[C@@H]([C@@H](C)O)C(=O)N12,CHEMBL2431069,0.77,Rattus norvegicus
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1/C=C/n1cnc2c(Nc3ccc(P(C)(C)=O)cc3)ncnc21,CHEMBL554084,0.8,Rattus norvegicus
CCN(CC)CC.Nc1nc(-c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CNS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1F,CHEMBL4299202,0.8,Rattus norvegicus
CC(C)C[C@@H](C(=O)N[C@@H]1CC[C@H]2CN(S(=O)(=O)c3cccc(C(F)(F)F)c3)C[C@H]21)N(C)C,CHEMBL2414779,0.8,Rattus norvegicus
CCC[C@H](NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C1CCCCC1)NC(=O)Cc1cccc(c1)OCCCCO2)C(=O)C(=O)NCC(=O)N[C@H](CN(C)C)c1ccccc1,CHEMBL201353,0.8,Rattus norvegicus
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(-c2ccccn2)cc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCN(Cc2cccc(C)c2)C1=O)C(C)(C)C)C(C)(C)C,CHEMBL454164,0.8,Rattus norvegicus
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(-c2ccccn2)cc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCN(Cc2csc(-c3cccnc3)n2)C1=O)C(C)(C)C)C(C)(C)C,CHEMBL447675,0.8,Rattus norvegicus
Br.CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](NC(C)=N)C1,CHEMBL3120196,0.8,Rattus norvegicus
